X.locale,Address.City,Address.County,Address.FormattedAddress,Address.IntersectionDescription,Address.Latitude,Address.Longitude,Address.Subdivision,LocationMilestones.OpenDate,Market,Name,Store.StoreDistrictID,Store.StoreGroupID
en-US,Roswell,Fulton,"1135 Woodstock Rd, Roswell, GA 30075-2231",NWC Rte 92 & Hardscrabble Rd,34.063846,-84.398046,GA,2000-03-01T12:00:00,ESE,Roswell,334,394
en-US,Peachtree Corners,Gwinnett,"3200 Holcomb Bridge Rd, Peachtree Corners, GA 30092-3361",NEC Holcolm Rd & Peachtree Pkwy,33.951431,-84.232282,GA,1995-10-04T12:00:00,ESE,Peachtree Corners,335,394
en-US,Conyers,Rockdale,"2195 Hwy 20 SE, Conyers, GA 30013-2028",NWC Hwy 20 & Millers Chapel Rd,33.63339,-84.016216,GA,2006-10-04T12:00:00,ESE,Conyers,346,394
en-US,Alpharetta,Fulton,"6000 N Point Pkwy, Alpharetta, GA 30022-3006",SWC Haynes Bridge & N Point Pkwy,34.046252,-84.286994,GA,1995-07-19T12:00:00,ESE,Alpharetta,335,394
en-US,Canton,Cherokee,"2022 Cumming Hwy, Canton, GA 30115-8071",SEC I-575 & Cummings Hwy,34.234597,-84.456684,GA,2009-03-04T12:00:00,ESE,Canton,334,394
en-US,Duluth,Fulton,"5950 State Bridge Rd, Duluth, GA 30097-6438",SEC State Bridg & Medlock Brid,34.014619,-84.188354,GA,1995-10-04T12:00:00,ESE,Riverwood,335,394
en-US,Milton,Fulton,"13055 Highway 9 N, Milton, GA 30004-5137",NEC State Hwy 9 & Webb Rd,34.099447,-84.269227,GA,2008-07-23T12:00:00,ESE,Milton,334,394
en-US,Snellville,Gwinnett,"1905 Scenic Hwy N, Snellville, GA 30078-5633",NWC Ronald Reagan & Rt 124,33.874854,-84.015965,GA,1994-10-05T12:00:00,ESE,Snellville,346,394
en-US,Suwanee,Forsyth,"2625 Peachtree Pkwy, Suwanee, GA 30024-1048",SEC Brookwood Rd & Peachtree Pkwy,34.097081,-84.173188,GA,2005-10-05T12:00:00,ESE,John's Creek,335,394
en-US,Lawrenceville,Gwinnett,"875 Lawrenceville Suwanee Rd, Lawrenceville, GA 30043-8479",NWC Rt 120 & 317,33.970133,-84.014927,GA,1995-10-04T12:00:00,ESE,Lawrenceville,346,394
en-US,Cumming,Forsyth,"1525 Market Place Blvd, Cumming, GA 30041-7935",NEC GA 400 & GA 20,34.1857,-84.134116,GA,2002-03-06T12:00:00,ESE,Cumming,335,394
en-US,Buford,Gwinnett,"3205 Woodward Crossing Blvd, Buford, GA 30519-4938",NEC SR 20 & I-85,34.070031,-83.98182,GA,1999-10-06T12:00:00,ESE,Buford,346,394
en-US,Tuscaloosa,Tuscaloosa,"1901 13th Ave E, Tuscaloosa, AL 35404-4785",SEC McFarland Blvd & 15th St,33.193104,-87.518672,AL,2002-03-06T12:00:00,ESE,Tuscaloosa,340,394
en-US,Warner Robins,Houston,"2929 Watson Blvd, Warner Robins, GA 31093-9600",SWC Houston Lk Blvd & Watson Blvd,32.616594,-83.686391,GA,2001-10-10T12:00:00,ESE,Warner Robins,346,394
en-US,Bethlehem,Barrow,"916 Loganville Hwy, Bethlehem, GA 30620-2145",SEC US Hwy 29 & Hwy 81,33.942788,-83.752011,GA,2009-03-04T12:00:00,ESE,Winder,346,394
en-US,Flowery Branch,Hall,"5865 Spout Springs Rd, Flowery Branch, GA 30542-3448",NEC I-985 & Sprout Springs Rd,34.178722,-83.911284,GA,2008-03-05T12:00:00,ESE,Flowery Branch,335,394
en-US,Huntsville,Madison,"2750 Carl T Jones Dr SE, Huntsville, AL 35802-4914",NWC Bailey Cove Rd & Four Mile Post,34.673498,-86.541632,AL,2001-10-10T12:00:00,ESE,Huntsville South,369,394
en-US,Decatur,Morgan,"1235 Point Mallard Pkwy SE, Decatur, AL 35601-6531",SEC US Hwy 31 & Hwy 67,34.559064,-86.97103,AL,2007-10-10T12:00:00,ESE,Decatur,369,394
en-US,Gainesville,Hall,"514 Shallowford Rd NW, Gainesville, GA 30504-4154",SWC Skelton Rd & Shallowford,34.290556,-83.846503,GA,1997-07-23T12:00:00,ESE,Gainesville,335,394
en-US,Dothan,Houston,"4601 Montgomery Hwy, Dothan, AL 36303-1522",NWC US Hwy 231 & Murphy Mill Rd,31.266492,-85.446808,AL,2007-03-07T12:00:00,ESE,Dothan,348,393
en-US,Huntsville,Madison,"6275 University Dr NW, Huntsville, AL 35806-1776",SWC Hwy 72 & Enterprise Dr,34.741637,-86.681523,AL,2001-07-25T12:00:00,ESE,Huntsville West,369,394
en-US,Albany,Dougherty,"2721 Dawson Rd, Albany, GA 31707-1672",NEC Dawson Rd & N Westover B,31.621335,-84.224654,GA,1995-10-04T12:00:00,ESE,Albany,348,393
en-US,Madison,Madison,"8207 HIGHWAY 72 W, Madison, AL 35758-9571",,34.749313,-86.755874,AL,2012-03-07T12:00:00,ESE,Madison,369,394
en-US,Chattanooga,Hamilton,"1816 Gunbarrel Rd, Chattanooga, TN 37421-3129",SEC Gunbarrel Rd & Igou Gap Rd,35.024344,-85.156006,TN,2000-10-04T12:00:00,ESE,Chattanooga East,333,394
en-US,Athens,Clarke,"3065 Atlanta Hwy, Athens, GA 30606-3334",SWC BUS US 78 & Epps Bridge Rd,33.941502,-83.44039,GA,2003-10-08T12:00:00,ESE,Athens,346,394
en-US,Hixson,Hamilton,"5579 Highway 153, Hixson, TN 37343-3748",SWC Rt 153 & Winding Ln,35.14642,-85.251508,TN,2005-10-05T12:00:00,ESE,Chattanooga North,333,394
en-US,Cleveland,Bradley,"4570 Frontage Rd NW, Cleveland, TN 37312-2905",NWC I-75 & Paul Huff Parkway,35.217441,-84.866113,TN,2008-03-05T12:00:00,ESE,Cleveland,333,394
en-US,Florence,Lauderdale,"372 Cox Creek Pkwy, Florence, AL 35630-1540",SEC Cox Creek Pkwy & Gresham Rd,34.84213,-87.634764,AL,2001-03-07T12:00:00,ESE,Florence,369,394
en-US,Anderson,Anderson,"3519 Clemson Blvd, Anderson, SC 29621-1312",SWC Clemson & Civic Ctr Blvds,34.54954,-82.679501,SC,1999-07-21T12:00:00,ESE,Anderson,337,395
en-US,Tallahassee,Leon,"3700 Bradfordville Rd, Tallahassee, FL 32309-1943",NEC Thomasville & Bradfrdville,30.561288,-84.21554,FL,2005-07-20T12:00:00,SFL,Tallahassee North,348,393
en-US,Murfreesboro,Rutherford,"1851 Old Fort Pkwy, Murfreesboro, TN 37129-3364",SEC Rt 96 & Thompson Lane,35.843921,-86.426292,TN,1998-07-22T12:00:00,ESE,Murfreesboro,333,394
en-US,Destin,Okaloosa,"853 Harbor Blvd, Destin, FL 32541-2709",NEC Hwy 98 & Main St,30.390741,-86.480935,FL,2005-10-05T12:00:00,SFL,Destin,348,393
en-US,Pace,Santa Rosa,"4727 Highway 90, Pace, FL 32571-1403",SEC US 90 & Watkins Rd,30.601174,-87.126274,FL,2007-07-25T12:00:00,SFL,Pace,359,393
en-US,Spring Hill,Maury,"1033 Crossings Blvd, Spring Hill, TN 37174-2755",NEC US Hwy 31 & State Hwy 396,35.74154,-86.937825,TN,2008-03-05T12:00:00,ESE,Spring Hill,369,394
en-US,Mary Esther,Okaloosa,"250 E Miracle Strip Pkwy, Mary Esther, FL 32569-1924",NWC Mary Esther Cutoff & US 98,30.410554,-86.658874,FL,1995-10-04T12:00:00,SFL,Mary Esther,348,393
en-US,Evans,Columbia,"4223 Washington Rd, Evans, GA 30809-3069",NEC Washington Rd & Owens Rd,33.527174,-82.118653,GA,2005-10-05T12:00:00,ESE,Evans,337,395
en-US,Panama City Beach,Bay,"15555 Starfish St, Panama City Beach, FL 32413-2457",SWC US 98 & Powell Adams Rd,30.219781,-85.868686,FL,2006-10-04T12:00:00,SFL,Pier Park,348,393
en-US,Tallahassee,Leon,"2120 Apalachee Pkwy, Tallahassee, FL 32301-4819",NWC Apalachee & Paul Russell,30.43252,-84.244336,FL,1993-10-06T12:00:00,SFL,Tallahassee,348,393
en-US,Maryville,Blount,"800 Watkins Rd, Maryville, TN 37801-4597",NEC US 129 & US 321,35.751972,-83.991525,TN,2000-03-01T12:00:00,ESE,Maryville,351,395
en-US,Panama City,Bay,"2340 Highway 77, Panama City, FL 32405-4404",NEC 23rd St & Cove Blvd,30.19123,-85.649157,FL,1992-07-22T12:00:00,SFL,Panama City,348,393
en-US,Augusta,Richmond,"235 Robert C Daniel Jr Pkwy, Augusta, GA 30909-0800",NEC Wheeler Rd & I-520,33.489997,-82.081301,GA,1997-10-08T12:00:00,ESE,Augusta,337,395
en-US,Pensacola,Escambia,"1749 E Nine Mile Rd, Pensacola, FL 32514-5729",SWC University Pkwy & 9 Mile Rd,30.530082,-87.223828,FL,2000-07-19T12:00:00,BTC,Pensacola NE,359,393
en-US,Franklin,Williamson,"3064 Columbia Ave, Franklin, TN 37064-7424",NWC Columbia Ave & Mack Hatcher,35.89233,-86.880687,TN,2005-03-02T12:00:00,ESE,Franklin,369,394
en-US,Smyrna,Rutherford,"803 Industrial Blvd, Smyrna, TN 37167-6865",NEC I-24 & Sam Ridley Pkwy,35.979397,-86.571713,TN,2008-03-05T12:00:00,ESE,Smyrna,333,394
en-US,Valdosta,Lowndes,"1815 Norman Dr, Valdosta, GA 31601-3502",NEC Norman & St Augustine(.5 mi N),30.84359,-83.316461,GA,1995-10-04T12:00:00,BTC,Valdosta,348,393
en-US,Pensacola,Escambia,"4711 Bayou Blvd, Pensacola, FL 32503-2607",SWC Bayou Blvd & Askew Dr,30.468992,-87.208593,FL,1992-03-11T12:00:00,SFL,Pensacola,359,393
en-US,Knoxville,Knox,"1900 Town Center Blvd, Knoxville, TN 37922",NWC I-140 & S Northshore Dr,35.862042,-84.078239,TN,2012-07-25T12:00:00,ESE,Knoxville South,351,395
en-US,Knoxville,Knox,"11100 Parkside Dr, Knoxville, TN 37934-1960",SWC I-40/75 & Lovell Rd,35.900577,-84.151312,TN,2002-03-06T12:00:00,ESE,Farragut,351,395
en-US,Franklin,Williamson,"1701 Galleria Blvd, Franklin, TN 37067-1602",SWC Moores Lane & I-65,35.96564,-86.812455,TN,1992-03-11T12:00:00,ESE,Cool Springs,369,394
en-US,Knoxville,Knox,"8040 Ray Mears Blvd, Knoxville, TN 37919-5457",NEC Ray Mears Blvd & Winston Rd,35.922124,-84.047781,TN,1981-07-22T12:00:00,ESE,Knoxville West,351,395
en-US,Brentwood,Davidson,"780 Old Hickory Blvd, Brentwood, TN 37027-4527",NEC I-65 & Old Hickory Blvd,36.042772,-86.779214,TN,2005-07-20T12:00:00,ESE,Brentwood,369,394
en-US,Mount Juliet,Wilson,"401 S Mount Juliet Rd, Mount Juliet, TN 37122-6309",SEC I-40 & Mt Juliet Rd/Rt 171,36.168508,-86.508374,TN,2006-03-01T12:00:00,ESE,Mt Juliet,333,394
en-US,Pensacola,Escambia,"2950 S Blue Angel Pkwy, Pensacola, FL 32506-6905",NEC Blue Angel Pkwy & Sorrento Rd,30.363162,-87.358086,FL,2009-03-04T12:00:00,SFL,Pensacola West,359,393
en-US,Knoxville,Knox,"6670 Clinton Hwy, Knoxville, TN 37912-1016",NEC Clinton Hwy & Callahan,36.008464,-84.022171,TN,1996-03-06T12:00:00,ESE,Knoxville NW,351,395
en-US,Simpsonville,Greenville,"694 Fairview Rd, Simpsonville, SC 29680-6708",NEC Fairview Rd & Harrison Bridge,34.705739,-82.259611,SC,2004-03-03T12:00:00,ESE,Simpsonville,337,395
en-US,Nashville,Davidson,"3171 Lebanon Pike, Nashville, TN 37214-2314",NEC Jackson Downs & Lebanon Pk,36.182625,-86.637907,TN,1997-03-05T12:00:00,ESE,Nashville East,333,394
en-US,Nashville,Davidson,"26 White Bridge Rd, Nashville, TN 37205-1411",NWC White Bridge Pk & Post Rd,36.130779,-86.854673,TN,1981-07-22T12:00:00,ESE,White Bridge,369,394
en-US,Greenville,Greenville,"1112 Woodruff Rd, Greenville, SC 29607-4109",SWC I-85 & Woodruff Rd,34.830076,-82.308025,SC,1999-03-03T12:00:00,ESE,Greenville,337,395
en-US,Nashville,Davidson,"6814 Charlotte Pike, Nashville, TN 37209-4206",NEC I-40 & US Hwy 70,36.135103,-86.891363,TN,2007-03-07T12:00:00,BTC,Nashville West,369,394
en-US,Daphne,Baldwin,"1698 US Highway 98, Daphne, AL 36526-4252",SEC US 98 & Daphne Ave,30.603217,-87.896507,AL,2000-07-19T12:00:00,ESE,Daphne,359,393
en-US,Knoxville,Knox,"5405 Washington Pike, Knoxville, TN 37918-7004",SWC New Harvest Ln & Washington Pike,36.036859,-83.887806,TN,2006-07-19T12:00:00,ESE,Knoxville North,351,395
en-US,Aiken,Aiken,"2545 Whiskey Rd, Aiken, SC 29803-8521",NWC Whiskey Rd & Brookhaven Dr,33.504129,-81.711132,SC,2000-10-04T12:00:00,ESE,Aiken,337,395
en-US,Mobile,Mobile,"3150 Bel Air Mall, Mobile, AL 36606-3203",SEC I-65 & Airport Blvd,30.671392,-88.12001,AL,1996-07-24T12:00:00,ESE,Bel-Air,359,393
en-US,Taylors,Greenville,"6025 Wade Hampton Blvd, Taylors, SC 29687-5334",NEC Wade Hampton Blvd & Ruther Rd,34.93744,-82.279302,SC,2004-10-06T12:00:00,ESE,Greer,337,395
en-US,Madison,Davidson,"2050 Gallatin Rd N, Madison, TN 37115-2002",NWC Gallatin Pike & Conference Dr,36.304198,-86.694594,TN,1981-02-24T12:00:00,ESE,Rivergate,333,394
en-US,Hendersonville,Sumner,"1004 Andrews Run, Hendersonville, TN 37075-1232",NWC New Shackle Island Rd & Vietnam,36.334395,-86.625271,TN,2003-03-05T12:00:00,ESE,Hendersonville,333,394
en-US,Mobile,Mobile,"790 Schillinger Rd S, Mobile, AL 36695-8979",SWC Schillinger Rd & Old Gov't St,30.673882,-88.228304,AL,2002-03-06T12:00:00,ESE,Mobile West,359,393
en-US,Gulf Shores,Baldwin,"3820 Gulf Shores Pkwy, Gulf Shores, AL 36542-2819",NEC Hwy 59 & CR 4,30.303574,-87.680528,AL,2006-07-19T12:00:00,ESE,Gulf Shores,359,393
en-US,Arden,Buncombe,"15 McKenna Rd, Arden, NC 28704-9201",NEC I-26 & Airport Rd,35.448714,-82.535898,NC,2005-07-20T12:00:00,RG3,Asheville South,362,395
en-US,Spartanburg,Spartanburg,"8199 Warren H Abernathy Pkwy, Spartanburg, SC 29301-2452",SEC US 29 & Hadden Heights Rd,34.934124,-82.009115,SC,2001-07-25T12:00:00,ESE,Spartanburg,337,395
en-US,Asheville,Buncombe,"115 River Hills Rd, Asheville, NC 28805-2550",SWC S Tunnel Rd & SwannanoaRd,35.57295,-82.522312,NC,2003-07-23T12:00:00,RG3,Asheville,362,395
en-US,Jackson,Madison,"93 Stonebrook Pl, Jackson, TN 38305-3637",SWC Stonebrook Pl & US 45 Byp,35.686565,-88.857722,TN,1994-10-05T12:00:00,ESE,Jackson,332,394
en-US,Collierville,Shelby,"325 New Byhalia Rd, Collierville, TN 38017-3705",NWC New Byhalia Rd & Poplar Ave,35.050644,-89.690385,TN,2004-07-21T12:00:00,ESE,Collierville,332,394
en-US,Germantown,Shelby,"9235 Poplar Ave, Germantown, TN 38138-7903",SEC Hwy 72 & Forest Hill-Irene,35.065207,-89.755729,TN,1991-10-09T12:00:00,ESE,Germantown,332,394
en-US,Cordova,Shelby,"475 N Germantown Pkwy, Cordova, TN 38018-6209",SWC N Germantown Pkwy & Trinity Rd,35.138077,-89.798065,TN,2003-10-08T12:00:00,ESE,Cordova,332,394
en-US,Olive Branch,DeSoto,"5150 Goodman Rd, Olive Branch, MS 38654-7903",NEC Goodman Rd & Pleasant Hill Rd,34.964928,-89.898693,MS,2008-07-23T12:00:00,RG3,Olive Branch West,332,394
en-US,Memphis,Shelby,"7989 US Highway 64, Memphis, TN 38133-4007",SWC Hwy 64 & Germantown Rd,35.203464,-89.796608,TN,1996-07-24T12:00:00,ESE,Memphis NE,332,394
en-US,Memphis,Shelby,"5959 Poplar Ave, Memphis, TN 38119-3938",SEC I-240 & Poplar Ave,35.101357,-89.862978,TN,2009-03-04T12:00:00,ESE,Memphis East,332,394
en-US,Clarksville,Montgomery,"2823 Wilma Rudolph Blvd, Clarksville, TN 37040-5002",NEC Dunlop & US 79,36.586754,-87.292082,TN,1995-03-08T12:00:00,ESE,Clarksville,333,394
en-US,Memphis,Shelby,"601 Colonial Rd, Memphis, TN 38117-5132",SWC Colonial Rd & Poplar Ave,35.113176,-89.90362,TN,1980-07-29T12:00:00,ESE,Memphis Central,332,394
en-US,Horn Lake,DeSoto,"7255 Interstate Dr, Horn Lake, MS 38637-1410",NWC I-55 & Goodman Rd,34.965723,-90.00456,MS,1999-03-03T12:00:00,RG3,Horn Lake,332,394
en-US,Bowling Green,Warren,"160 American Ave, Bowling Green, KY 42104-6378",SWC Cambell Ln & US 231,36.949291,-86.43625,KY,1995-03-08T12:00:00,RG4,Bowling Green,333,394
en-US,Flowood,Rankin,"170 Promenade Blvd, Flowood, MS 39232-8017",NEC Old Fannin Rd & Hwy 25,32.343338,-90.060623,MS,2004-10-06T12:00:00,RG3,Flowood,331,393
en-US,Jackson,Hinds,"6365 I 55 N, Jackson, MS 39213-9742",SWC I-55 & East County Line Rd,32.39856,-90.147817,MS,1995-10-04T12:00:00,RG3,North Jackson,331,393
en-US,Jonesboro,Craighead,"3000 E Highland Dr, Jonesboro, AR 72401-6321",NEC E Highland Dr & US 49,35.822936,-90.666448,AR,2005-10-05T12:00:00,BTC,Jonesboro,167,194
en-US,Hattiesburg,Lamar,"6143 U S Highway 98, Hattiesburg, MS 39402-8533",NWC US 98 & Weathersby Dr N,31.323514,-89.385061,MS,2005-10-05T12:00:00,RG3,Hattiesburg,331,393
en-US,Owensboro,Daviess,"5151 Frederica St, Owensboro, KY 42301-7443",SEC US 431 & Southtown Blvd,37.717488,-87.122615,KY,1997-03-05T12:00:00,RG4,Owensboro,140,190
en-US,Elizabethtown,Hardin,"1631 Ring Rd, Elizabethtown, KY 42701-5470",SWC Ring Rd & Gloria Dei Dr,37.728429,-85.880339,KY,1996-03-06T12:00:00,RG4,Elizabethtown,168,190
en-US,D'iberville,Harrison,"3867 Promenade Pkwy, D'iberville, MS 39540-5363",NWC I-10 & I-110,30.454942,-88.899895,MS,2009-10-07T12:00:00,RG3,D'Iberville,359,393
en-US,Covington,St. Tammany Parish,"69320 Highway 21, Covington, LA 70433-7220",SEC LA Hwy 21 & I-12,30.442442,-90.14066,LA,2004-03-03T12:00:00,RG3,Covington,331,393
en-US,Hammond,Tangipahoa Parish,"2030 Hammond Square Dr, Hammond, LA 70403-6156",NWC I-12 & US Hwy 51/SW Railroad Ave,30.480532,-90.461589,LA,2009-07-22T12:00:00,RG3,Hammond,331,393
en-US,Monroe,Ouachita Parish,"4103 Pecanland Mall Dr, Monroe, LA 71203-7009",NWC I-20 & Pecanland Rd,32.499827,-92.070689,LA,2002-07-24T12:00:00,RG3,Monroe,353,392
en-US,Metairie,Jefferson Parish,"4500 Veterans Memorial Blvd, Metairie, LA 70006-5330",NEC I-10 & Clearview Pkwy,30.002898,-90.184112,LA,2002-07-24T12:00:00,RG3,Metairie,331,393
en-US,Kenner,Jefferson Parish,"1401 W Esplanade Ave, Kenner, LA 70065-2845",SEC W Esplande Ave & Cattle Farm Rd,30.017065,-90.247514,LA,2011-07-20T12:00:00,RG3,Kenner,331,393
en-US,Harvey,Jefferson Parish,"1731 Manhattan Blvd, Harvey, LA 70058-3409",SEC Manhattan Blvd & Gretna Blvd,29.889547,-90.053431,LA,2002-07-24T12:00:00,RG3,Harvey,331,393
en-US,Baton Rouge,East Baton Rouge Parish,"2001 Millerville Rd, Baton Rouge, LA 70816-1408",NEC I-12 & Millerville Rd,30.441249,-91.022367,LA,2005-10-05T12:00:00,RG3,Baton Rouge East,353,392
